,,,,,,,,,
,Название,Ссылки,Цены,Бизнес-модель,Функционал,Целевая аудитория,Преимущества,Позиционирование,Бенчмарки (результаты)
,Retail Rocket,Оф.сайт Интервью (2018),"Индивидуально; от 30k руб/мес (мин.)
Free-тариф для малого сайта",Гибкая: фикс или % от выручки (ROI-ориентир)," 20+ сценариев рекомендаций (товары на сайте, в приложении, email)
 Триггерные рассылки (брош. корзина и др.)
Сегментация и персон. кампании
AI-алгоритмы для fashion (“Total Look” подбор образа)★
 Web-push, Smart SMS, баннеры","Средний и крупный e-commerce (ретейлеры, маркетплейсы). 
Fashion, electronics, etc. 
Особый упор на магазины с большим трафиком и ассортиментом.","– Сильные ML-алгоритмы, масштаб для enterprise
– Комплексность: персонализация + email + реклама (единая платформа)
– Глубокая экспертиза в e-com, 100+ кейсов, доверие лидеров рынка
– Поддержка Data Science (настройка под клиента)
– Free-тариф привлекает начинающих клиентов","Платформа AI-персонализации и удержания клиентов для онлайн-ритейла. 
Акцент на рост конверсии и LTV через realtime-рекомендации и омниканал. 
Лидер российского рынка персонализации (де-факто стандарт).","18.5% выручки: кейс “Атака” (спецодежда) за счет upsell-рекомендаций
90% крупных онлайн-магазинов Рунета используют RR
Миллиарды показов реком-блоков принесли 16 млрд руб. доп. выручки в год
Новый алгоритм “Total Look” повысил AOV и конверсию в fashion-сегменте (в тестах)"
,REES46,Оф.сайт RAMM рейтинг,"10 000 руб/мес (пакет L)
Крупные – индивидуально (XL)","SaaS-подписка, помесячно. 
Фиксированная плата по тарифу (без комиссий с продаж). 
Демо-доступ бесплатно.","Товарные рекомендации (виджеты “похожие”, “популярное”, персональное и т.д.)★ Персональный поиск по сайту (AI-поиск с учетом опечаток)★ Email-маркетинг: триггерные письма, рассылки★ Попап-виджеты (сбор подписок, промо)★ Веб и мобильные push-уведомления★ Программа лояльности (баллы, акции)★ CDP: объединение данных, RFM-анализ","Малый и средний онлайн-бизнес 
(интернет-магазины до 50k сессий/мес и выше). 
Подходит магазинам без собственной большой IT-команды, кто ищет готовое решение «все в одном». 
Отрасли: одежда, электроника, товары для дома и пр.","– Все маркетинг-инструменты в одном сервисе (one-stop solution)
– Простая и быстрая интеграция (плагины, API), запуск за дни
– Готовые сценарии и шаблоны – экономия времени
– Удобный интерфейс, управление без программиста (DIY-настройки)
– Активная поддержка, помощь в оптимизации (фактически консалтинг)
– Доступная цена для своего класса","Платформа повышения конверсии для онлайн-магазина. 
Акцент на персональных рекомендациях и омниканальном маркетинге (email, push, сайт) 
на базе единой Customer Data Platform. 
Решение «под ключ» для роста продаж у SMB.","18% выручки: кейс магазина технику “TechnoDom” 
– +6% общих продаж с одним менеджером благодаря рекомендациям
Средний чек +10-15% у клиентов после внедрения персонализации (заявлено в презентациях)
Оценка клиентов: 5/5 на независимом рейтинге (РАММ)
1100+ магазинов подключили REES46 (WebAsyst)"
,Nosto,Оф.сайт G2 Reviews,"Индивидуально, завис. от оборота.
Без публичных тарифов (free trial).","Success-based модель: оплата по результату 
(комиссия с продаж, рост выручки). 
Для малых – низкий порог (старт бесплатно), с ростом – рост платежей.","★ Персональные рекомендации (сайт: главная, каталог, PDP, корзина и пр.)★ Персонализированный поиск (семантич., с учетом намерений)★ Правила мерчандайзинга товаров (упорядочение, фильтры)★ A/B тестирование и оптимизация контента★ Персонализация контента: баннеры, UGC (интеграция Instagram и отзывов)★ Попапы (exit-intent, сбор email) и рекомендации в email★ Аналитика по сегментам, рекомендации по сегментам","Средний и крупный онлайн-ритейл, особенно fashion, lifestyle, спортивные бренды, косметика. 
Подходит компаниям, стремящимся улучшить UX и конверсию в международном масштабе. 
Требует определенной экспертизы, поэтому чаще mid-market и enterprise.","– Комплексная платформа “3 в 1” (рекомендации + поиск + персонализация контента)
– Легкая интеграция (есть приложения для Shopify, Magento и др.)
 – “очень легко установить, просто работает”
– Сильная аналитика и сегментация, инструменты для маркетинга
– Возможность тонкой настройки (правила, сегменты) + автоматизация на AI
– Глобальный опыт: лучшие практики от сотен fashion-брендов
– Масштабируемость, мульти-язычность (поддержка многих языков)","AI-платформа персонализации покупательского опыта (Commerce Experience). 
Позиционируется как решение для роста продаж и лояльности
 через персональные шопинг-опыты. Сочетает рекомендации товаров, 
умный поиск и индивидуальный контент. Популярна среди fashion-ретейлеров в мире.","15% конверсии / +8% дохода на посетителя – кейс Cynthia Rowley (fashion) с новой стратегией рекомендаций
+70% конверсии – кейс The WOD Life (спорттовары) после внедрения персонализации и категорийного мерчандайзинга
2.38× рост конверсии у бренда часов Ur&Penn с гипер-персонал. рекоммендациями
332 отзывa клиентов, средний рейтинг 
~4.5/5 (G2) – отмечают рост продаж и удобство"
,,,,,,,,,
,,,,,,,,x * 0.5 = y,
,,,,,,,,x * K = 1.18 y,
,,,,,,,,x - товары в выборке,
,,,,,,,,K - релевантые с рекомендаций,
,,,,,,,,x * K = y ,
,,,,,,,,y -  прибыль,
,,,,,,,,Логика обоснования ,
